Accion	GTA V
Accion	Call of Duty: Modern Warfare
Accion	Red Dead Redemption 2
Accion	Assassin's Creed Valhalla
Accion	Doom Eternal
Aventu	The Legend of Zelda: Breath of the Wild
Aventu	Uncharted 4: A Thief's End
Aventu	Tomb Raider
Aventu	God of War
Aventu	Hollow Knight
RolRPG	Final Fantasy VII
RolRPG	The Witcher 3: Wild Hunt
RolRPG	Elden Ring
RolRPG	Persona 5
RolRPG	Dark Souls III
Deport	FIFA 21
Deport	NBA 2K21
Deport	Madden NFL 21
Deport	PES 2021
Deport	Tony Hawk's Pro Skater 1 + 2
Carrer	Forza Horizon 4
Carrer	Gran Turismo 7
Carrer	Need for Speed Heat
Carrer	Burnout Paradise Remastered
Carrer	Project Cars 2
Estrat	Civilization VI
Estrat	StarCraft II
Estrat	Age of Empires II: Definitive Edition
Estrat	Total War: Three Kingdoms
Estrat	XCOM 2
Simula	The Sims 4
Simula	Cities: Skylines
Simula	Planet Coaster
Simula	Microsoft Flight Simulator
Simula	Farming Simulator 19
Puzzle	Portal 2
Puzzle	Tetris Effect
Puzzle	The Witness
Puzzle	Baba Is You
Puzzle	Candy Crush Saga
Terror	Resident Evil 2
Terror	Silent Hill 2
Terror	Amnesia: The Dark Descent
Terror	Outlast
Terror	Dead Space
MulMMO	World of Warcraft
MulMMO	Final Fantasy XIV
MulMMO	Guild Wars 2
MulMMO	The Elder Scrolls Online
MulMMO	Black Desert Online
Deporte	ejemplo
